,Unnamed: 0.1,Unnamed: 0,X,Date,Year,Time,Location,Operator,Route,AC.Type,Manufacturer,Registration,cn.ln,Aboard,Aboard.Passangers,Aboard.Crew,Fatalities,Fatalities.Passangers,Fatalities.Crew,Ground,Summary,Coordinates,Latitude,Longitude,LatitudeNoise,LongitudeNoise
0,0,1,1,09/17/1908,1908,17-18,"Fort Myer, Virginia",Military - U.S. Army,Demonstration,Wright Flyer III,Other,,1,2.0,1.0,1.0,1,1.0,0.0,0.0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.","(38.878877, -77.068158)",38.878877,-77.068158,36.12299494990229,-78.06421041813545
2,2,3,3,07/12/1912,1912,06-07,"Atlantic City, New Jersey",Military - U.S. Navy,Test flight,Dirigible,Other,,,5.0,0.0,5.0,5,0.0,5.0,0.0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.","(39.377094, -74.451563)",39.377094,-74.451563,40.95217767572449,-74.67277786241615
4,4,5,5,09/09/1913,1913,18-19,Over the North Sea,Military - German Navy,,Zeppelin L-1 (airship),Zeppelin,,,20.0,,,14,,,0.0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.,"(15.530675, 73.764707)",15.530675,73.764707,15.03887397719048,72.4668126239834
5,5,6,6,10/17/1913,1913,10-11,"Near Johannisthal, Germany",Military - German Navy,,Zeppelin L-2 (airship),Zeppelin,,,30.0,,,30,,,0.0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..","(46.01139, 15.16722)",46.01139,15.16722,45.98018558237647,17.53283923236258
6,6,7,7,03/05/1915,1915,01-02,"Tienen, Belgium",Military - German Navy,,Zeppelin L-8 (airship),Zeppelin,,,41.0,,,21,,,0.0,Crashed into trees while attempting to land after being shot down by British and French aircraft.,"(50.80931, 4.937385)",50.80931,4.937385,51.0149712561438,0.0553278506642804
7,7,8,8,09/03/1915,1915,15-16,"Off Cuxhaven, Germany",Military - German Navy,,Zeppelin L-10 (airship),Zeppelin,,,19.0,,,19,,,0.0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.","(53.859527, 8.693474)",53.859527,8.693474,49.76492458923204,6.135464795117992
9,9,10,10,09/24/1916,1916,01-02,"Billericay, England",Military - German Navy,,Zeppelin L-32 (airship),Zeppelin,,,22.0,,,22,,,0.0,Shot down by British aircraft crashing in flames.,"(51.621363, 0.414078)",51.621363,0.414078,52.07893127609794,-1.22886621924358
10,10,11,11,10/01/1916,1916,23-00,"Potters Bar, England",Military - German Navy,,Zeppelin L-31 (airship),Zeppelin,,,19.0,0.0,19.0,19,0.0,19.0,0.0,Shot down in flames by the British 39th Home Defence Squadron.,"(51.692886, -0.192891)",51.692886,-0.192891,52.28617174556333,-4.243911855726238
12,12,13,13,11/28/1916,1916,23-00,"Off West Hartlepool, England",Military - German Navy,,Zeppelin L-34 (airship),Zeppelin,,,20.0,,,20,,,0.0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,"(54.693274, -1.223038)",54.693274,-1.223038,56.18144530101874,0.7579774444172773
15,15,16,16,05/14/1917,1917,05-06,"Near Texel Island, North Sea",Military - German Navy,,Zeppelin L-22 (airship),Zeppelin,,,21.0,,,21,,,0.0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.","(64.779262, -18.673522)",64.779262,-18.673522,59.91370017441467,-19.203496301625144
16,16,17,17,06/14/1917,1917,08-09,"Off Vlieland Island, North Sea",Military - German Navy,,Zeppelin L-43 (airship),Zeppelin,,,24.0,,,24,,,0.0,Shot down by British aircraft.,"(64.779262, -18.673522)",64.779262,-18.673522,66.74556177510472,-21.323603861888785
18,18,19,19,08/21/1917,1917,07-08,Off western Denmark,Military - German Navy,,Zeppelin L-23 (airship),Zeppelin,,,18.0,,,18,,,0.0,Shot down by British aircraft.,"(55.966966, 9.018163)",55.966966,9.018163,56.57391576970563,6.024078954908174
19,19,20,20,10/20/1917,1917,07-08,"Near Luneville, France",Military - German Navy,,Zeppelin L-44 (airship),Zeppelin,,,18.0,,,18,,,0.0,Shot down by French anti-aircraft fire.,"(48.589904, 6.500118)",48.589904,6.500118,46.710909934777135,4.870120794416484
20,20,21,21,04/07/1918,1918,21-22,Over the Mediterranean,Military - German Navy,,Zeppelin L-59 (airship),Zeppelin,,,23.0,,,23,,,0.0,Exploded and crashed into the sea off the southern coast of Italy.,"(39.112414, -84.516668)",39.112414,-84.516668,36.565848645699866,-84.37901048752165
22,22,23,23,08/11/1918,1918,10-11,"Ameland Island, North Sea",Military - German Navy,,Zeppelin L-53 (airship),Zeppelin,,,19.0,,,19,,,0.0,Shot down by british aircraft.,"(64.779262, -18.673522)",64.779262,-18.673522,63.52937539681494,-17.822857271107264
26,26,27,27,07/21/1919,1919,16-17,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,Shuttle,FD Type Dirigible,Other,,,,,,3,2.0,1.0,10.0," The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed","(41.87897, -87.66063)",41.87897,-87.66063,42.53927800148455,-91.64150145734078
49,49,50,50,12/14/1920,1920,12-13,"London, England",Handley Page Transport,London - Paris,Handley Page HP-16,Handley Page,G-EAMA,HP-25,8.0,6.0,2.0,4,2.0,2.0,0.0,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..,"(51.509648, -0.099076)",51.509648,-0.099076,51.68411020582101,-0.876729558199018
60,60,61,61,08/24/1921,1921,17-18,"River Humber, England",Military - Royal Airship Works,,Royal Airship Works ZR-2 (airship),Other,R-38,R-38,46.0,0.0,46.0,46,0.0,46.0,1.0,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.,"(5.574595, 8.39357)",5.574595,8.39357,6.648262607382509,6.512060884749307
65,65,66,66,03/22/1922,1922,11-12,North Atlantic Ocean,Aero Limited,Miami - Bimini,Aeromarine Model 85 (flying boat),Other,,,6.0,5.0,1.0,5,5.0,0.0,0.0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami.","(38.309137, -101.328273)",38.309137,-101.328273,40.68246746095532,-101.89655699970488
66,66,67,67,04/07/1922,1922,13-14,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,deHavilland,G-EAOW/FGEAD,4,7.0,5.0,2.0,7,5.0,2.0,0.0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.","(49.664295, 1.942836)",49.664295,1.942836,46.37874713799556,1.3027753791566514
70,70,71,71,07/16/1922,1922,16-17,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,Strasbourg - Paris,Potez 29,Other,F-FREI,25,5.0,4.0,1.0,5,4.0,1.0,0.0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.,"(48.740076, 7.359064)",48.740076,7.359064,52.08422315506809,6.308720114055181
