,X,Date,Year,Time,Location,Operator,Route,AC.Type,Manufacturer,Registration,cn.ln,Aboard,Aboard.Passangers,Aboard.Crew,Fatalities,Fatalities.Passangers,Fatalities.Crew,Ground,Summary,Coordinates,Latitude,Longitude,Country,Country coordinates,Location_Status
1,1,09/17/1908,1908,17:18,"Fort Myer, Virginia",Military - U.S. Army,Demonstration,Wright Flyer III,Other,,1,2.0,1.0,1.0,1,1.0,0.0,0.0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.","(38.878877, -77.068158)",36.96449576709815,-69.05412121776891,United States,United States,correct location
2,2,09/07/1909,1909,,"Juvisy-sur-Orge, France",,Air show,Wright Byplane,Other,SC1,,1.0,0.0,1.0,1,0.0,0.0,0.0,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show.","(48.691161, 2.374077)",48.73197881882376,1.9359697066651802,France,France,correct location
3,3,07/12/1912,1912,06:30,"Atlantic City, New Jersey",Military - U.S. Navy,Test flight,Dirigible,Other,,,5.0,0.0,5.0,5,0.0,5.0,0.0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.","(39.377094, -74.451563)",40.4946001389696,-79.05490001814263,United States,United States,correct location
4,4,08/06/1913,1913,,"Victoria, British Columbia, Canada",Private,,Curtiss seaplane,Curtiss,,,1.0,0.0,1.0,1,0.0,1.0,0.0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.","(22.381131, 114.135572)",20.172173816538045,107.22379563232285,Canada,China,not correct location
5,5,09/09/1913,1913,18:30,North Sea,Military - German Navy,,Zeppelin L-1 (airship),Zeppelin,,,20.0,,,14,,,0.0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.,"(15.530675, 73.764707)",12.907033997537503,84.85162652928366,North Sea,India,not correct location
6,6,10/17/1913,1913,10:30,"Johannisthal, Germany",Military - German Navy,,Zeppelin L-2 (airship),Zeppelin,,,30.0,,,30,,,0.0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..","(46.01139, 15.16722)",42.284014049384545,15.589653826292489,Germany,Slovenia,not correct location
7,7,03/05/1915,1915,01:00,"Tienen, Belgium",Military - German Navy,,Zeppelin L-8 (airship),Zeppelin,,,41.0,,,21,,,0.0,Crashed into trees while attempting to land after being shot down by British and French aircraft.,"(50.80931, 4.937385)",56.23979524672917,8.163052847128135,Belgium,Belgium,correct location
8,8,09/03/1915,1915,15:20,"Cuxhaven, Germany",Military - German Navy,,Zeppelin L-10 (airship),Zeppelin,,,19.0,,,19,,,0.0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.","(53.859527, 8.693474)",52.37933807148368,19.16696205488869,Germany,Germany,correct location
9,9,07/28/1916,1916,,"Jambol, Bulgeria",Military - German Army,,Schutte-Lanz S-L-10 (airship),Other,,,20.0,,,20,,,0.0,"Crashed near the Black Sea, cause unknown.","(42.48718, 26.492437)",50.104914209562985,23.963253382280893,Bulgaria,Bulgaria,correct location
10,10,09/24/1916,1916,01:00,"Billericay, England",Military - German Navy,,Zeppelin L-32 (airship),Zeppelin,,,22.0,,,22,,,0.0,Shot down by British aircraft crashing in flames.,"(51.621363, 0.414078)",52.21544199670535,4.0501376361270705,United Kingdom,United Kingdom,correct location
11,11,10/01/1916,1916,23:45,"Potters Bar, England",Military - German Navy,,Zeppelin L-31 (airship),Zeppelin,,,19.0,0.0,19.0,19,0.0,19.0,0.0,Shot down in flames by the British 39th Home Defence Squadron.,"(51.692886, -0.192891)",46.59599717057804,2.7792873988978295,United Kingdom,United Kingdom,correct location
12,12,11/21/1916,1916,,"Mainz, Germany",Military - German Army,,Super Zeppelin (airship),Other,,,28.0,,,27,,,0.0,Crashed in a storm.,"(49.997895, 8.253032)",51.00777839671346,10.741774214122174,Germany,Germany,correct location
13,13,11/28/1916,1916,23:45,"West Hartlepool, England",Military - German Navy,,Zeppelin L-34 (airship),Zeppelin,,,20.0,,,20,,,0.0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,"(54.693274, -1.223038)",56.01161037623934,2.7314024299757316,United Kingdom,United Kingdom,correct location
14,14,03/04/1917,1917,,"Gent, Belgium",Military - German Army,,Airship,Other,,,20.0,,,20,,,0.0,Caught fire and crashed.,"(51.057496, 3.732703)",43.43563453846769,8.817311854327201,Belgium,Belgium,correct location
15,15,03/30/1917,1917,,Northern Germany,Military - German Navy,,Schutte-Lanz S-L-9 (airship),Other,,,23.0,,,23,,,0.0,Struck by lightning and crashed into the Baltic Sea.,"(50.970097, 9.687096)",49.72124902320374,7.185898748383032,Northern Germany,Germany,not correct location
